Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,15,Enda Bagnall,,,Open,02:01,29:48,2:01,2:53:50,0:55,1:31:07,4:57:41
2,28,Jordan Dunne,,,Open,01:54,31:29,1:54,2:43:26,1:03,1:41:20,4:59:12
3,103,Brendan Cassidy,,,Open,01:40,40:09,1:40,2:45:24,1:30,1:40:58,5:09:41
4,60,Paul Ogle,O45-49,2,Open,01:27,29:35,1:27,2:53:33,1:18,1:44:28,5:10:21
5,151,Steven Paul,O35-39,2,Open,02:18,34:14,2:18,2:55:40,1:19,1:37:07,5:10:38
6,223,David Sheedy,O35-39,3,Open,03:09,33:09,3:09,2:50:43,1:55,1:45:10,5:14:06
7,197,Niamh Staunton,,,Female,02:36,29:51,2:36,3:10:31,1:26,1:32:20,5:16:44
8,73,Seamus Babington,O30-34,2,Open,02:17,35:04,2:17,2:53:45,1:17,1:48:20,5:20:43
9,195,Johnny Boylan,O40-44,1,Open,01:58,32:14,1:58,3:02:58,1:02,1:49:49,5:28:01
10,87,James Fitzgerald,O40-44,2,Open,02:23,33:16,2:23,3:07:04,1:17,1:46:39,5:30:39
11,146,Daragh Crowley,O50-54,1,Open,02:27,37:31,2:27,3:06:35,1:23,1:46:12,5:34:08
12,174,Kieran McCarthy,O40-44,3,Open,02:23,35:34,2:23,3:11:33,1:59,1:48:13,5:39:42
13,121,Lorna Tate,,,Female,02:03,33:03,2:03,3:07:51,1:26,1:59:01,5:43:24
14,3,Michael Keogh,O40-44,4,Open,02:32,36:20,2:32,3:06:38,1:34,1:57:11,5:44:15
15,23,Mike Bowes,O55-59,1,Open,01:43,36:08,1:43,3:08:03,0:21,1:58:12,5:44:27
16,122,Liam O'Connor,O25-29,1,Open,02:33,41:43,2:33,3:16:57,3:27,1:42:29,5:47:09
17,51,Cian Brassil,O35-39,4,Open,02:10,30:05,2:10,3:16:35,2:24,1:56:06,5:47:20
18,192,Jorge Lopez,O35-39,5,Open,01:46,30:28,1:46,3:13:36,1:26,2:01:02,5:48:18
19,88,Tom Lalor,O35-39,6,Open,01:40,37:44,1:40,3:14:27,2:09,1:56:49,5:52:49
20,37,Danny Mullane,O30-34,3,Open,02:28,29:16,2:28,3:18:08,2:10,2:01:49,5:53:51
21,54,Joshua Ritchie,O20-24,1,Open,02:02,35:13,2:02,3:17:34,1:03,1:59:04,5:54:56
22,167,Oisin Osullivan,O20-24,2,Open,01:35,28:03,1:35,3:11:50,2:10,2:12:06,5:55:44
23,179,Gary Sleith,O40-44,5,Open,02:44,39:41,2:44,3:17:41,2:46,1:54:00,5:56:52
24,14,Wayne Reid,O45-49,3,Open,04:22,28:33,4:22,3:19:12,2:08,2:06:38,6:00:53
25,93,Luka Keyes,O25-29,2,Open,04:50,34:58,4:50,3:30:15,2:52,1:48:21,6:01:16
26,142,David Drury,O45-49,4,Open,01:37,39:23,1:37,3:20:11,2:03,1:59:12,6:02:26
27,110,Orla Houlihan,,,Female,01:49,36:15,1:49,3:36:23,1:12,1:47:07,6:02:46
28,127,Kevin Doyle,O55-59,2,Open,01:18,39:01,1:18,3:14:58,3:00,2:05:29,6:03:46
29,43,Paul Hyland,O30-34,4,Open,04:01,41:18,4:01,3:04:51,1:57,2:12:18,6:04:25
30,156,Jack Savage,O30-34,5,Open,03:51,34:17,3:51,3:21:55,2:57,2:04:29,6:07:29
31,75,Clem Leonard,O50-54,2,Open,02:02,37:26,2:02,3:21:29,1:54,2:04:42,6:07:33
32,216,Tim Mackey,O45-49,5,Open,03:49,31:32,3:49,3:30:34,1:40,2:00:38,6:08:13
33,211,Henry Murray,O40-44,6,Open,02:29,39:36,2:29,3:31:31,2:08,1:52:43,6:08:27
34,67,Declan Power,O50-54,3,Open,02:17,33:16,2:17,3:17:37,1:39,2:14:11,6:09:00
35,183,Keelin Skillington,O25-29,3,Open,02:33,39:05,2:33,3:26:25,2:04,1:59:20,6:09:27
36,59,Artur Kuwik,O50-54,4,Open,02:11,39:49,2:11,3:23:25,2:03,2:03:10,6:10:38
37,61,Andis Strods,O40-44,7,Open,04:11,31:02,4:11,3:13:00,0:26,2:22:34,6:11:13
38,50,Andrew Kinane,O45-49,6,Open,03:16,31:44,3:16,3:18:30,2:48,2:15:26,6:11:44
39,118,Colm Doolan,O35-39,7,Open,01:37,48:04,1:37,3:31:33,2:40,1:49:06,6:13:00
40,172,Ronan Forde,O45-49,7,Open,02:10,38:56,2:10,3:12:44,4:24,2:16:58,6:15:12
41,178,Vincent de Boer,O20-24,3,Open,02:41,33:29,2:41,3:29:46,1:32,2:08:24,6:15:52
