Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,145,Conor O’Brien,18-24,,Open,Limerick TC,14:32,0:48,40:17,0:30,16:25,1:12:32
2,98,Chris Jeuken,30-34,,Open,,15:41,1:05,43:15,0:51,16:55,1:17:47
3,151,Patrick Quinn,40-44,,Open,Ennis Triathlon Club,15:23,0:48,42:33,0:52,18:41,1:18:17
4,139,Ray Kearney,40-44,2,Open,,16:01,0:21,39:33,1:28,21:33,1:18:56
5,125,Laura Daly,30-34,,Female,Galway Triathlon Club,14:56,0:46,42:57,0:44,19:52,1:19:15
6,153,Gerald Troy,45-49,3,Open,,19:01,1:13,40:48,0:53,18:15,1:20:10
7,146,Mike Quinlivan,50-54,4,Open,Limerick TC,16:12,1:26,43:22,1:01,19:24,1:21:25
8,142,Tony Stack,45-49,5,Open,Ennis Triathlon Club,14:36,1:16,42:22,0:41,22:48,1:21:43
9,113,Shane Larkin,50-54,1,Open,Limerick TC,16:21,1:38,42:58,1:03,20:19,1:22:19
10,129,Jeffrey Brophy,35-39,6,Open,Carrick-on-Suir TC,17:11,1:05,43:48,0:40,19:55,1:22:39
11,131,Patrick Harris,35-39,7,Open,Carrick-on-Suir TC,17:13,1:12,45:08,0:57,18:47,1:23:17
12,40,Darren Dunne,25-29,3,Open,,13:03,1:11,47:58,0:33,22:20,1:25:05
13,97,Oliver Foley,50-54,2,Open,Limerick TC,17:38,2:33,45:41,1:24,20:22,1:27:38
14,114,Nigel Mann,30-34,4,Open,,16:48,1:33,47:44,1:22,20:45,1:28:12
15,84,Donncha Houlihan,45-49,8,Open,,17:20,1:47,48:27,1:10,19:29,1:28:13
16,48,Rory O Connor,35-39,9,Open,Boru TC,18:16,1:51,46:24,1:27,21:19,1:29:17
17,127,Enda Sheehy,45-49,10,Open,West Clare Triathlon Club,18:22,1:37,46:31,0:44,22:25,1:29:39
18,67,Denis Kiely,45-49,11,Open,,19:24,1:40,48:18,1:36,19:37,1:30:35
19,140,John Cahill,60-64,3,Open,West Clare Triathlon Club,20:05,1:57,46:46,0:57,21:00,1:30:45
20,141,Chris Hackett,40-44,12,Open,Ennis Triathlon Club,19:37,1:16,47:06,1:15,21:37,1:30:51
21,50,Brian O Donovan,40-44,13,Open,Limerick TC,18:42,1:47,48:47,1:00,20:48,1:31:04
22,57,Lisa horgan,50-54,,Female,Limerick TC,14:44,2:15,50:30,0:47,23:34,1:31:50
23,1,Kieran McCarthy,40-44,14,Open,Limerick TC,19:59,1:30,46:34,1:23,22:54,1:32:20
24,130,Colm Cribbin,45-49,15,Open,Glin Tri Club,17:42,1:47,50:38,1:18,22:21,1:33:46
25,60,Murna Griffin o malley,45-49,,Female,,16:37,2:08,51:04,1:28,22:31,1:33:48
26,75,Richard Roche,50-54,4,Open,,17:43,2:09,49:57,1:03,23:06,1:33:58
27,136,Kieran Whyte,60-64,5,Open,Galway Triathlon Club,17:04,1:45,50:54,1:07,23:53,1:34:43
28,5,Jennifer Lee,40-44,2,Female,Limerick TC,17:38,1:16,51:14,0:58,24:09,1:35:15
29,7,Ronan McHugh,65-69,6,Open,Ennis Triathlon Club,16:03,2:20,51:53,1:37,23:53,1:35:46
30,56,Roisin Doran,50-54,2,Female,Limerick TC,18:32,1:39,52:12,1:04,22:27,1:35:54
31,38,Daragh Moore,50-54,7,Open,Limerick TC,23:09,3:40,45:04,1:12,23:39,1:36:44
32,3,Edward Fahy,65-69,8,Open,Limerick TC,21:10,2:10,49:11,1:24,23:29,1:37:24
33,133,Arthur Dunne,35-39,16,Open,Wicklow TC,23:00,1:49,48:04,1:28,23:08,1:37:29
34,20,Paul Dorrell,60-64,9,Open,Limerick TC,20:02,2:45,50:01,0:25,24:42,1:37:55
35,122,Aidan Pepper,25-29,5,Open,,18:01,1:58,55:05,0:56,22:05,1:38:05
36,132,Michael Collins,55-59,10,Open,Ennis Triathlon Club,17:02,2:06,51:37,1:32,26:02,1:38:19
37,111,Kate Collins,30-34,2,Open,Limerick TC,20:46,3:44,46:38,1:42,26:01,1:38:51
