Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,393,Aisling Wyer,F30-34,1,Female,NaasTC,11:21,1:36,34:58,0:00,18:36,1:06:32
2,354,Elizabeth Carr,F30-34,2,Female,,11:00,1:18,36:04,0:54,17:59,1:07:17
3,353,Aimee Carr,F20-24,3,Female,,11:10,1:44,35:54,0:27,18:10,1:07:26
4,374,Aine Kinsella,F30-34,4,Female,WaterfordTriathlonClub,13:42,1:35,34:32,0:45,19:05,1:09:42
5,388,Aoibheann Ryan,F18-19,5,Female,,11:00,1:56,36:52,0:30,20:00,1:10:19
6,370,Zoe Hughes,F18-19,6,Female,,10:59,1:29,40:28,0:28,17:40,1:11:05
7,367,Kim Hickey,F45-49,7,Female,PulseTC,14:03,1:12,35:49,0:48,19:59,1:11:54
8,392,Julia VanColler,F18-19,8,Female,,13:11,1:43,37:35,0:39,20:30,1:13:39
9,368,Nicola Hickey-crowe,F40-44,9,Female,PiranhaTriathlonClub,16:09,0:56,37:14,0:44,19:28,1:14:33
10,356,Joanne Cummins,F40-44,10,Female,WicklowTC,16:36,0:41,37:07,0:47,20:23,1:15:36
11,472,Nessa Mangan,F18-19,11,Female,,11:00,2:42,41:29,0:00,20:48,1:16:00
12,384,Ellie OToole,F20-24,12,Female,,14:00,1:35,38:44,0:59,21:54,1:17:14
13,382,Lorraine O’Neill,F55-59,13,Female,ArmaghPikekickersTriathlonClub,15:00,1:51,37:40,1:08,22:03,1:17:43
14,364,Emma Gentles,F45-49,14,Female,BelparkTC,16:10,0:42,37:37,0:50,22:43,1:18:04
15,352,Ailis Brosnan,F55-59,15,Female,TraleeTriClub,16:29,1:04,39:50,0:57,20:17,1:18:39
16,355,Anne Cooper,F40-44,16,Female,WicklowTC,15:00,1:10,36:49,1:13,24:51,1:19:05
17,366,Andree Heslin,F40-44,17,Female,TriedandTested,14:00,1:59,40:31,0:00,22:58,1:19:29
18,390,Elizabeth Shouldice,F45-49,18,Female,FingalTriathlonClub,16:34,1:21,39:03,1:19,22:55,1:21:15
19,422,Becky McGrath,F40-44,19,Female,KilkennyTriathlonClub,17:05,1:09,40:24,0:43,22:20,1:21:43
20,358,Zoe Davis,F35-39,20,Female,WestportTC2026,13:00,1:31,41:25,0:56,24:50,1:21:44
21,436,Linda Osullivan,F55-59,21,Female,CorkTriathlonClub,18:51,1:30,39:57,1:02,20:28,1:21:51
22,361,Alanna Drennan,F20-24,22,Female,MidletonCyclingandTriathlonClub,15:00,1:32,40:50,0:34,24:03,1:22:00
23,363,Siobhan Forman,F55-59,23,Female,PiranhaTriathlonClub,17:13,1:07,38:49,1:16,23:53,1:22:20
24,383,Lynda O'gorman,F50-54,24,Female,CorkTriathlonClub,15:00,2:11,41:17,1:17,22:57,1:22:42
25,360,Ellen Desmond,F25-29,25,Female,CorkTriathlonClub,15:00,1:43,40:31,0:46,25:02,1:23:04
26,200,Lorna Kavanagh,F40-44,26,Female,,17:53,1:17,39:44,0:57,23:19,1:23:12
27,190,Therese Murray,F50-54,27,Female,TriLakesTriathlonClub,16:23,1:38,39:46,1:51,24:03,1:23:43
28,375,Jenny Lawler,F40-44,28,Female,WicklowTC,17:56,1:44,41:44,1:02,22:26,1:24:55
29,402,Claire Cellarius,F55-59,29,Female,TriLakesTriathlonClub,17:12,0:58,41:39,0:33,24:38,1:25:02
30,474,Orla Mahon,F18-19,30,Female,,14:00,1:30,45:38,0:35,23:25,1:25:09
31,386,Ciara Rhatigan,F50-54,31,Female,WicklowTC,16:40,1:03,43:16,1:03,23:48,1:25:51
32,479,Eimear Laffan,F50-54,32,Female,,17:10,1:48,42:42,1:15,22:56,1:25:53
33,350,Marysia Bowens,F20-24,33,Female,NaasTC,15:11,1:47,46:29,0:45,22:10,1:26:24
34,425,Niamh Murphy,F50-54,34,Female,BelparkTC,19:29,1:57,40:54,1:25,22:54,1:26:41
35,391,Marie Slattery,F50-54,35,Female,KilkennyTriathlonClub,19:45,1:22,40:51,1:10,24:34,1:27:44
36,412,Deirdre Joynt,F50-54,36,Female,WicklowTC,19:20,2:09,42:27,1:19,22:44,1:28:02
37,351,Fiona Boyle,F45-49,37,Female,TraleeTriClub,17:01,1:26,44:01,1:45,24:13,1:28:28
38,429,Elaine Murray,F55-59,38,Female,NaasTC,19:08,1:30,42:40,1:20,24:12,1:28:51
39,380,Niamh Mcswiggan,F50-54,39,Female,PortmarnockTC,17:21,1:46,43:48,1:20,25:02,1:29:20
40,408,Julie Egan,F45-49,40,Female,AthyTriathlonClub,21:05,1:01,40:53,1:47,24:50,1:29:38
41,440,ANGELA RICE,F65-69,41,Female,MidlandTC,20:51,2:45,33:03,1:48,31:14,1:29:42
42,411,Helen French,F55-59,42,Female,BelparkTC,20:08,1:08,43:51,1:08,23:40,1:29:57
43,400,Niamh Byrne,F30-34,43,Female,CorkTriathlonClub,20:10,1:34,43:35,0:58,23:54,1:30:13
44,394,Nora Wyer,F55-59,44,Female,NaasTC,18:58,1:58,42:58,1:07,25:45,1:30:48
45,397,Grainne Black,F45-49,45,Female,BelparkTC,20:11,2:36,46:44,0:26,21:11,1:31:09
46,378,Maire Marshall,F50-54,46,Female,SouthCoastTC,19:16,1:24,44:17,1:32,25:11,1:31:41
47,349,Joanne Bingham,F60-64,47,Female,OlympianTriathlonClub,18:32,0:42,46:47,0:34,25:18,1:31:55
48,441,Barbara Ryan,F40-44,48,Female,ClonmelTriathlonClub,26:14,1:27,40:05,0:33,23:35,1:31:57
49,387,Eve Rodgers,F25-29,49,Female,BelparkTC,18:42,2:09,48:47,2:11,20:08,1:32:00
50,424,Ciara Morrissey,F35-39,50,Female,TrilogyTriathlonClub,20:46,2:00,46:08,0:36,23:36,1:33:08
51,475,Clodagh Mahon,F20-24,51,Female,,18:06,0:38,48:37,0:50,25:36,1:33:49
52,371,Ellen Hynes,F25-29,52,Female,3DTriathlonClub,15:10,1:01,50:56,0:51,25:59,1:33:59
53,444,Laura Walsh,F20-24,53,Female,,17:25,2:57,45:45,1:09,26:43,1:34:01
54,385,Ann Payne,F60-64,54,Female,CorkTriathlonClub,18:54,1:22,47:12,0:51,26:14,1:34:35
55,427,Maire Murphy,F35-39,55,Female,MallowTC,18:56,1:39,45:41,1:41,26:45,1:34:45
56,401,Niamh Carton,F35-39,56,Female,NaasTC,18:40,1:36,49:57,0:43,24:05,1:35:03
