Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,2,Shane Hennelly,,1,Open,Lanesboro Triathlon Club 2026,6:57,0:28,22:38,0:46,8:27,39:16
2,29,David O'Shaughnessy,,2,Open,Athlone Triathlon Club,8:51,1:28,29:02,0:35,13:27,53:23
3,9,james Heffernan,,3,Open,Athlone Triathlon Club,9:30,1:53,27:58,0:16,14:03,53:40
4,21,Joan Tobin,,1,Female,Athlone Triathlon Club,8:59,0:58,30:29,0:46,15:24,56:36
5,10,Jack O'Toole,,4,Open,,8:27,2:03,31:30,0:31,16:13,58:44
6,1,Rory Thornburgh,,5,Open,Athlone Triathlon Club,11:11,1:03,31:25,0:46,15:17,59:42
7,11,Brian Quinn,,6,Open,Athlone Triathlon Club,11:10,0:59,29:16,0:46,17:32,59:43
8,33,Stephen Sheehy,,7,Open,,9:11,2:59,30:32,2:00,15:20,1:00:02
9,17,Donna Devine Healy,,2,Female,Athlone Triathlon Club,8:50,1:35,32:59,0:22,16:47,1:00:33
10,12,Barbara Quinn,,3,Female,Athlone Triathlon Club,8:41,1:01,31:53,0:44,18:38,1:00:57
11,4,Charmaine O’Leary,,4,Female,,9:16,2:09,31:51,1:22,18:42,1:03:20
12,25,Eamonn Gleeson,,8,Open,Athlone Triathlon Club,11:18,3:50,31:41,0:32,16:32,1:03:53
13,31,Albha Oman,,5,Female,Tullamore Triathlon Club,8:31,1:39,36:40,0:20,16:57,1:04:07
14,19,Sarah Fitzpatrick,,6,Female,Athlone Triathlon Club,9:10,0:56,38:05,0:20,16:50,1:05:21
15,30,Sinead Lynch,,7,Female,,8:17,1:02,32:26,1:15,22:25,1:05:25
16,14,Eoghan Mac Aoidh,,9,Open,,9:48,2:52,33:59,0:58,19:07,1:06:44
17,36,Jack Martin,,10,Open,,12:09,2:04,36:40,0:49,16:05,1:07:47
18,27,Deirdre Craven,,8,Female,Tullamore Triathlon Club,12:17,2:11,37:34,0:52,15:22,1:08:16
19,32,Anne Lynch,,9,Female,Trilogy Triathlon Club,8:41,1:42,37:06,1:27,21:25,1:10:21
20,13,Mark Tuohy,,11,Open,,8:25,2:17,35:09,1:09,23:26,1:10:26
21,20,Madison Clancy,,10,Female,,9:05,2:44,41:32,1:07,19:34,1:14:02
22,6,Maura Moore,,11,Female,Athlone Triathlon Club,11:11,2:09,40:24,0:40,20:44,1:15:08
23,23,Darren Meakin,,12,Open,,11:52,2:55,36:17,1:56,23:07,1:16:07
24,22,Katie Meakin,,12,Open,Cuilcagh TC,11:51,2:57,36:23,1:48,23:08,1:16:07
25,15,Noelle Lee,,12,Female,Athlone Triathlon Club,11:55,2:29,42:38,0:45,20:19,1:18:06
26,34,Diana Ursul,,13,Female,Athlone Triathlon Club,12:12,2:08,41:25,1:03,24:15,1:21:03
27,24,Marta Gorczyca,,13,Female,Athlone Triathlon Club,10:48,1:42,41:35,1:37,25:21,1:21:03
28,35,Marion Sweeney,,15,Female,Sligo Tri Club,14:51,2:34,45:59,0:54,19:35,1:23:53
29,8,Ethel Waldron,,16,Female,Athlone Triathlon Club,11:44,2:27,42:45,0:44,26:19,1:23:59
30,18,Annette Ward,,17,Female,Athlone Triathlon Club,14:38,2:49,46:07,0:44,27:03,1:31:21
31,5,Orla Nolan,,18,Female,Athlone Triathlon Club,16:06,2:01,51:19,0:29,28:49,1:38:44
32,26,Teresa McDonnell,,19,Female,Athlone Triathlon Club,17:31,3:59,50:37,0:52,27:03,1:40:02
33,16,Colleen Mc Cormack,,20,Female,Athlone Triathlon Club,17:18,3:46,1:00:30,0:51,31:53,1:54:18
,3,Olivia Cullivan,,,Female,Athlone Triathlon Club,,,,,,
,7,Eileen Regan,,,Female,,,,,,,
