Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,157,Ian Kavanagh,,1,Open,East Cork Tribe,17:10,1:09,39:55,0:54,18:53,1:18:01
2,46,Brendan Cassidy,,2,Open,Cork Triathlon Club,20:02,1:09,37:12,0:57,18:46,1:18:06
3,103,John O Connell,,3,Open,Cork Triathlon Club,15:39,1:11,39:53,0:57,20:39,1:18:19
4,39,Edwin Sutton,,4,Open,Kinsale Triathlon Club,17:06,0:59,40:17,0:47,19:44,1:18:53
5,152,Arthur Reis,,5,Open,Cork Triathlon Club,19:48,1:08,40:39,0:42,19:25,1:21:42
6,40,Gediminas Daskauskas,,6,Open,Cork Triathlon Club,18:45,2:05,40:51,1:04,20:33,1:23:18
7,132,Tim Mahony,,7,Open,East Cork Tribe,16:17,1:09,43:41,1:11,22:21,1:24:39
8,148,Maura Barry,,1,Female,Cork Triathlon Club,19:29,1:46,42:10,1:06,21:07,1:25:38
9,126,James Maher,,8,Open,Mallow TC,18:55,1:33,43:54,0:53,20:48,1:26:03
10,147,Ryan Ates,,9,Open,,14:35,1:05,48:25,0:54,21:52,1:26:51
11,118,Niall Kelly,,10,Open,,19:50,1:42,45:32,1:09,19:24,1:27:37
12,111,Tom O Neill,,11,Open,,17:46,1:47,45:35,0:56,21:50,1:27:54
13,18,Conor Okeeffe,,12,Open,Cork Triathlon Club,19:20,2:20,44:30,1:49,20:21,1:28:20
14,90,Adrian Quinn,,13,Open,Cork Triathlon Club,16:20,1:27,48:28,1:05,21:41,1:29:01
15,62,Martin Bohane,,14,Open,Cork Triathlon Club,19:15,1:14,43:45,1:11,23:47,1:29:12
16,125,Brian O Hagan,,15,Open,Blackwater Triathlon Club,19:07,1:31,45:44,1:03,22:03,1:29:28
17,106,Pj Aherne,,16,Open,South Coast TC,20:03,1:25,44:56,1:22,22:15,1:30:01
18,6,Simon Vallenet,,17,Open,Cork Triathlon Club,14:50,1:42,47:38,0:33,25:41,1:30:24
19,143,John Barry Murphy,,18,Open,Cobh Triathlon Club,20:30,1:18,46:49,1:28,20:54,1:30:59
20,89,James O' Neill,,19,Open,Cork Triathlon Club,19:48,1:54,47:53,0:58,21:50,1:32:23
21,75,Bryan Gallwey,,20,Open,West Cork Triathlon Club,19:03,1:58,45:45,1:44,24:32,1:33:02
22,57,Seamus Stone,,21,Open,Cork Triathlon Club,22:38,2:11,47:15,1:00,19:59,1:33:03
23,146,Danny Finn,,22,Open,Crosshaven Triathlon Club,14:39,1:20,50:48,1:23,26:41,1:34:51
24,142,Rob O'Leary,,23,Open,,20:15,1:37,49:05,1:30,23:24,1:35:51
25,77,Carrie Desmond,,2,Female,Wicklow TC,19:18,1:28,50:09,0:58,24:16,1:36:09
26,107,Sam Whitehead,,24,Open,Cork Triathlon Club,15:31,1:55,52:52,1:22,25:35,1:37:15
27,3,Ronan Nagle,,25,Open,Kinsale Triathlon Club,17:58,2:51,48:23,1:42,26:34,1:37:28
28,136,Niall Crowley,,26,Open,Cork Triathlon Club,20:34,2:40,47:32,2:06,24:58,1:37:50
29,149,Alanna Drennan,,3,Female,Midleton Cycling and Triathlon Club,19:04,1:19,49:57,0:50,26:45,1:37:55
30,134,Gerard O'Regan,,27,Open,,21:35,2:15,46:48,1:19,25:59,1:37:56
31,105,Niall Coughlan,,28,Open,Schull Triathlon  Club,22:59,2:06,47:29,0:45,24:44,1:38:03
32,12,Michael Deasy,,29,Open,Cork Triathlon Club,20:28,2:54,48:15,1:34,25:11,1:38:22
33,13,David Condon,,29,Open,,21:32,1:37,48:52,1:58,24:23,1:38:22
34,139,Paul Cumming,,31,Open,Cork Triathlon Club,20:17,2:40,50:28,1:37,24:37,1:39:39
35,127,John Nunan,,32,Open,Mallow TC,16:51,2:36,51:45,1:17,27:13,1:39:42
36,145,Daniel Coholan,,33,Open,Kinsale Triathlon Club,17:03,2:07,53:32,1:23,25:41,1:39:46
37,113,Liam Nolan,,34,Open,Crosshaven Triathlon Club,19:47,2:40,52:08,1:41,23:31,1:39:47
38,87,Jack O’sullivan,,35,Open,,20:45,2:45,48:55,1:49,26:18,1:40:32
39,121,Ellen Desmond,,4,Female,Cork Triathlon Club,18:42,1:40,51:09,1:07,28:14,1:40:52
40,51,Alan Cronin,,36,Open,Cork Triathlon Club,15:47,2:33,53:49,1:22,27:48,1:41:19
41,33,Tim Finn,,37,Open,Kinsale Triathlon Club,23:45,2:12,46:36,1:05,28:12,1:41:50
42,154,Maeve Pigott,,5,Female,Kinsale Triathlon Club,23:15,2:26,46:56,1:48,27:27,1:41:52
43,14,Cormac Murphy,,38,Open,Kinsale Triathlon Club,18:29,1:57,51:12,1:21,29:01,1:42:00
44,140,Conor Green,,39,Open,,19:06,2:37,53:40,0:45,26:11,1:42:19
45,138,Sophia Wigginton,,6,Female,Kinsale Triathlon Club,24:13,2:12,52:36,1:10,22:50,1:43:01
46,135,Alan Hannigan,,40,Open,South Coast TC,24:03,3:07,51:44,1:29,22:56,1:43:19
47,60,Zack Anderson,,41,Open,Cork Triathlon Club,17:57,2:17,57:32,1:26,24:37,1:43:49
48,47,Cyril Walsh,,42,Open,,19:12,1:47,52:46,2:15,27:51,1:43:51
49,85,Eamonn O'Connell,,43,Open,Kinsale Triathlon Club,20:20,4:04,52:05,1:53,26:29,1:44:51
50,116,Leah Russell,,7,Female,AMS Triathlon,21:26,2:22,54:02,1:28,25:52,1:45:10
51,49,Frank Walsh,,44,Open,Kinsale Triathlon Club,19:55,2:21,51:28,1:30,29:58,1:45:12
52,129,Anthony Kenny,,45,Open,Kinsale Triathlon Club,22:35,1:50,51:47,1:20,27:41,1:45:13
53,128,Maryann O Connor,,8,Female,Mallow TC,23:53,1:49,52:38,1:38,25:27,1:45:25
54,21,Deirdre Cloete,,9,Female,Blackwater Triathlon Club,18:19,2:48,53:36,2:04,28:49,1:45:36
55,73,John Walsh,,46,Open,Cobh Triathlon Club,17:48,1:56,49:43,2:45,33:29,1:45:41
56,100,Mark O'Connor,,47,Open,,24:26,3:45,48:26,1:39,27:43,1:45:59
57,67,David O Driscoll,,48,Open,Cork Triathlon Club,18:31,2:17,55:19,1:46,28:12,1:46:05
58,68,Padraig Coughlan,,49,Open,Kinsale Triathlon Club,25:32,2:23,54:53,1:27,21:52,1:46:07
59,120,Gerard Geary,,50,Open,,25:31,4:09,53:29,1:52,21:29,1:46:30
60,156,Martin Rea,,51,Open,Cork Triathlon Club,20:51,2:26,54:55,1:39,26:41,1:46:32
61,133,Conor Fitzgerald,,52,Open,,23:53,3:41,51:07,2:29,25:54,1:47:04
62,124,Germano Henrique Santana Da Silva,,53,Open,,22:29,2:48,56:07,2:05,23:41,1:47:10
63,122,Mahmoud Elsirty,,54,Open,Cork Triathlon Club,23:20,2:23,56:41,1:41,23:28,1:47:33
64,101,Jacob Derham,,55,Open,,27:45,5:02,50:16,1:50,22:41,1:47:34
