Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,168,Donal Sheehy,45-49,1,Open,AMS Triathlon,30:27,,2:30:53,,1:22:27,4:26:51
2,304,Alan Kenny,45-49,2,Open,AMS Triathlon,32:58,,2:28:20,,1:23:58,4:30:06
3,290,Yann Schnorhk,35-39,3,Open,,31:58,,2:32:07,,1:24:44,4:33:19
4,207,Loughlin Campion,35-39,4,Open,,33:55,,2:28:40,,1:34:57,4:41:54
5,311,Arthur Reis,30-34,5,Open,,42:01,,2:30:20,,1:25:43,4:42:12
6,125,Edwin Sutton,40-44,6,Open,Kinsale Triathlon,36:40,,2:30:08,,1:32:21,4:44:18
7,70,Gerald Troy,45-49,7,Open,West Clare Triathlon Club,42:34,,2:30:31,,1:29:13,4:47:36
8,43,Adam Doyle,35-39,8,Open,Cork Triathlon Club,35:58,,2:37:26,,1:30:12,4:47:43
9,189,Sarah Diamond,25-29,1,Female,Wicklow TC,44:54,,2:35:02,,1:28:00,4:52:00
10,221,Colm Sheahan,40-44,9,Open,,33:04,,2:32:24,,1:44:20,4:54:54
11,193,Patrick Quinn,40-44,10,Open,Ennis Triathlon Club,36:01,,2:38:31,,1:36:59,4:55:23
12,33,Maura Barry,45-49,2,Female,Cork Triathlon Club,38:41,,2:41:10,,1:34:42,4:58:34
13,313,Lorna Tate,30-34,3,Female,South Coast TC,35:50,,2:44:21,,1:34:23,4:58:41
14,73,James Fitzgerald,40-44,11,Open,Tried and Tested,36:56,,2:42:30,,1:36:50,5:01:09
15,24,Gediminas Daskauskas,40-44,12,Open,Cork Triathlon Club,39:23,,2:40:30,,1:37:29,5:01:46
16,310,Mike Quinlivan,50-54,13,Open,Limerick TC,36:43,,2:45:00,,1:35:18,5:02:10
17,61,Ellen Vitting,40-44,4,Female,Kenmare TC,33:50,,2:42:45,,1:42:33,5:02:38
18,145,Matthew Carroll,35-39,14,Open,Naas T C,33:54,,2:40:25,,1:44:41,5:03:00
19,288,Conor Duggan,45-49,15,Open,,32:59,,2:48:46,,1:37:47,5:04:22
20,142,Stephen McGibney,40-44,16,Open,Naas T C,38:59,,2:50:48,,1:31:00,5:07:19
21,180,Mike Bowes,55-59,17,Open,Waterford Triathlon Club,39:27,,2:40:12,,1:45:23,5:09:51
22,257,Brendan Mulhare,50-54,18,Open,Limerick TC,37:21,,2:41:11,,1:46:28,5:10:41
23,48,Edward O'Mahony,50-54,19,Open,Cork Triathlon Club,37:55,,2:42:26,,1:47:22,5:11:51
24,269,Daragh Moore,50-54,20,Open,Limerick TC,39:42,,2:46:03,,1:39:49,5:12:02
25,108,David Fitzgerald,30-34,21,Open,Tralee TC,36:06,,2:50:09,,1:41:04,5:12:07
26,49,Paul Griffin,45-49,22,Open,Cork Triathlon Club,37:09,,2:44:48,,1:44:25,5:12:44
27,266,Stephen Cunneen,50-54,23,Open,Limerick TC,38:16,,2:41:06,,1:48:14,5:13:14
28,42,Tj Brosnan,30-34,24,Open,Cork Triathlon Club,36:53,,2:49:53,,1:40:11,5:14:23
29,96,Eric Fallon,30-34,25,Open,Athlone Triathlon Club,45:53,,2:47:42,,1:31:04,5:15:08
30,233,Ciat Joyce,45-49,26,Open,Pulse TC,44:25,,2:39:26,,1:43:27,5:16:18
31,230,Owen Ingarfield,40-44,27,Open,Piranha Triathlon Club,35:41,,2:52:00,,1:44:05,5:16:39
32,2,Rob O'Brien,50-54,28,Open,Athy Triathlon Club,35:46,,2:57:06,,1:37:01,5:17:07
33,165,Alan Glover,55-59,29,Open,Linerick TC,39:57,,2:42:51,,1:49:50,5:17:29
34,17,Patrick McLaughlin,40-44,30,Open,Cork Triathlon Club,38:07,,2:54:19,,5:17:51,5:17:51
35,139,Barry Smyth,40-44,31,Open,Naas T C,37:25,,2:44:25,,1:53:45,5:20:48
36,53,Tony O Halloran,25-29,32,Open,Cork Triathlon Club,45:10,,2:45:19,,1:46:32,5:21:33
37,56,Brian O Sullivan,40-44,32,Open,No1 fitness Kilcullen,37:30,,2:53:19,,1:42:01,5:21:33
38,144,Paul Reid,45-49,34,Open,Naas T C,37:44,,2:52:00,,1:45:48,5:22:14
39,253,Dwayne Price,45-49,35,Open,,44:56,,2:43:53,,1:47:02,5:22:15
40,214,John Barry Murphy,45-49,36,Open,Cobh Triathlon Club,44:33,,2:55:49,,1:37:15,5:23:24
41,247,Liam O'Connor,25-29,37,Open,Crosshaven Triathlon Club,53:14,,2:47:52,,1:33:48,5:24:36
42,158,Pj Aherne,35-39,38,Open,South Coast TC,42:57,,2:50:38,,1:45:42,5:25:16
43,8,Aleksandar Stojanovic,35-39,39,Open,Belpark TC,37:13,,3:01:05,,1:39:22,5:25:54
44,81,Kevin Cassidy,35-39,40,Open,,38:13,,2:45:24,,1:58:44,5:28:04
45,238,Glenn Murphy,45-49,41,Open,Island TC,42:12,,2:56:30,,1:41:51,5:28:25
46,118,Adam Flood,30-34,42,Open,Blackwater Triathlon Club,47:59,,2:57:02,,5:28:48,5:28:48
47,295,Brian Coffey,30-34,43,Open,Waterford Triathlon Club,35:56,,2:44:36,,2:01:31,5:28:58
48,95,Álvaro Luis Retamino Valdivia,30-34,44,Open,,42:48,,2:59:44,,1:40:19,5:29:37
49,300,Ollie Foley,50-54,45,Open,Limerick TC,38:02,,2:58:34,,1:46:46,5:29:42
50,45,Ivan Kelleher,50-54,46,Open,Cork Triathlon Club,37:08,,2:48:24,,1:57:32,5:29:53
51,20,Karl Scanlan,40-44,47,Open,Cork Triathlon Club,44:42,,2:54:13,,1:45:10,5:29:56
52,192,Sean Garry,35-39,48,Open,Ennis Triathlon Club,39:10,,2:54:52,,1:48:09,5:30:40
53,111,Adam Dunne,25-29,49,Open,Blackwater Triathlon Club,39:47,,2:56:46,,1:46:56,5:31:20
54,254,Paul O'Brien,50-54,50,Open,Longford TC,36:27,,2:54:47,,1:54:00,5:31:24
55,258,Brian O Donovan,40-44,51,Open,Limerick TC,39:34,,3:01:58,,1:43:53,5:31:52
56,227,Roisin Merz,30-34,5,Female,East Cork Tribe,39:20,,3:00:55,,1:48:29,5:33:08
57,307,Ewan Nolke,25-29,52,Open,,32:11,,2:59:12,,1:56:16,5:33:30
58,4,Sam Christie,20-24,53,Open,,39:50,,3:10:17,,1:38:18,5:34:21
59,104,Mike O Regan,35-39,54,Open,Tralee TC,32:34,,3:04:46,,1:49:40,5:34:41
60,296,Brendan Condon,35-39,55,Open,South Coast TC,38:00,,3:06:34,,1:44:19,5:35:01
61,297,Andrew Crowley,40-44,56,Open,Ennis Triathlon Club,40:45,,3:04:09,,1:44:12,5:36:21
62,134,David Gibson,45-49,57,Open,,40:23,,3:01:27,,1:49:40,5:36:59
63,147,Kayleigh McCormack,30-34,6,Female,Naas T C,40:27,,3:02:43,,1:48:46,5:37:00
64,155,Eugene McCarthy,55-59,58,Open,South Coast TC,36:04,,3:07:49,,1:46:42,5:37:31
65,151,Laurence O'Toole,60-64,59,Open,Tinahely Tri Club,48:41,,2:53:51,,1:49:31,5:38:14
66,228,Eoin Clancy,30-34,60,Open,Piranha Triathlon Club,39:16,,3:01:14,,1:50:24,5:39:02
