Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,257,Jordan McIlwaine,,1,Open,TUNA TC,,0:41,31:38,0:35,5:24,55:03
2,398,Sean Mcintyre,,2,Open,TUNA TC,,0:44,30:01,0:47,5:37,55:14
3,204,Philip Castles,,3,Open,TUNA TC,,0:42,29:49,0:38,6:09,56:22
4,307,Joe Hand,,4,Open,,,1:00,31:30,0:36,5:40,56:33
5,331,Jack Duncan,,5,Open,,,0:59,32:19,1:13,5:36,57:19
6,163,Joseph Hemsted,,6,Open,Olympian Triathlon Club,,1:03,32:25,0:54,5:36,57:50
7,401,Jonathan Walker,,7,Open,TUNA TC,,0:52,31:24,0:48,5:54,57:58
8,264,Michael Boyd,,8,Open,,,0:53,29:53,0:47,6:05,58:13
9,134,Deaglan O'Hagan,,9,Open,TUNA TC,,0:51,31:23,0:39,5:52,58:17
10,385,Adam Naughton,,10,Open,Lisburn Triathlon Club,,0:54,33:45,0:36,5:29,58:35
11,158,Keith Hooks,,11,Open,,,0:48,29:41,1:00,5:41,58:43
12,343,Fraser Duncan,,12,Open,,,1:49,30:14,1:07,5:54,58:53
13,107,Kieran Slaughter,,13,Open,,,0:43,32:06,0:40,6:09,59:46
14,174,NIK JOLMES,,14,Open,TUNA TC,,1:01,31:56,0:50,5:55,59:58
15,363,Duncan Emery,,15,Open,Peninsula Triathlon Club,,0:43,31:21,1:00,6:30,1:00:14
16,377,Rory Patterson,,16,Open,,,0:59,32:30,0:37,6:05,1:00:15
17,285,Robert Duncan,,17,Open,,,0:46,34:50,0:42,5:53,1:00:26
18,278,John McLaren,,18,Open,,,0:46,33:44,0:38,6:00,1:00:37
19,100,Lee Evans,,19,Open,Templemore Triathlon Club,,0:54,31:52,0:44,6:06,1:01:20
20,256,Curtis Johnston,,20,Open,TUNA TC,,1:08,33:33,1:03,6:00,1:01:50
21,387,Greg Mason,,20,Open,Narrows Triathlon Club,,0:38,33:45,0:42,6:33,1:01:50
22,237,Stuart Hooks,,22,Open,,,0:51,35:17,0:41,5:40,1:02:09
23,407,Robin Parsons,,23,Open,Down Triathlon Club,,0:52,33:27,0:49,6:17,1:02:50
24,397,Fiona Murphy,,1,Female,TUNA TC,,0:44,35:53,0:46,6:00,1:02:51
25,255,Andrew Mccullough,,24,Open,,,1:20,32:49,1:14,6:20,1:03:16
26,180,Andrew Barrett,,25,Open,,,1:04,36:13,0:54,5:42,1:03:22
27,168,Adrian Devine,,26,Open,Northwest TC,,0:49,35:48,0:51,6:18,1:03:45
28,244,Thomas Bach,,26,Open,Templemore Triathlon Club,,0:54,35:48,0:41,6:08,1:03:45
29,155,Martin English,,28,Open,Down Triathlon Club,,1:05,34:08,0:48,6:48,1:04:03
