Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,92,Joe Hand,M25-29,1,Open,,,,,,,4:30:02
2,186,Sean Mcintyre,M40-44,2,Open,TUNA TC,,,,,,4:38:23
3,9,Justin Bloomer,M25-29,3,Open,IslandTC,,,,,,4:39:21
4,202,Mike Millar,M35-39,4,Open,,,,,,,4:41:14
5,83,Sean Gillespie,M25-29,5,Open,OmaghTC,,,,,,4:44:33
6,187,Stephen Mckenna,M45-49,6,Open,OmaghTC,,,,,,4:45:29
7,212,Brendan Murphy,M40-44,7,Open,Strabane Triathlon Club,,,,,,4:46:51
8,93,Jude Harkin,M25-29,8,Open,Omagh TC,,,,,,4:50:52
9,208,Emmett Mullan,M30-34,9,Open,Northwest TC,,,,,,4:53:22
10,189,Keelan McKinney,M25-29,10,Open,Northwest TC,,,,,,4:54:37
11,218,Damian O Hagan,M40-44,11,Open,Omagh TC,,,,,,4:55:15
12,30,Christopher Cohen,M20-24,12,Open,Olympian Triathlon Club,,,,,,4:56:55
13,122,PAUL KIERAN,M40-44,13,Open,Olympian Triathlon Club,,,,,,4:58:44
14,148,Jason Maxwell,M25-29,14,Open,Strabane Triathlon Club,,,,,,5:00:23
15,80,Vincent Galvin,M45-49,15,Open,Pulse TC,,,,,,5:00:52
16,216,Henry Murray,M40-44,16,Open,Tri an Mhi TC,,,,,,5:02:45
17,8,Jack Bingham,M20-24,17,Open,,,,,,,5:02:51
18,100,Ryan Henderson,M40-44,18,Open,,,,,,,5:05:24
19,263,Lee Woods,M40-44,19,Open,Tri Limits TC,,,,,,5:06:06
20,197,Michael Mclernon,M40-44,20,Open,Lisburn Triathlon Club,,,,,,5:07:38
21,152,Joe Mc Connellogue,M50-54,21,Open,Northwest TC,,,,,,5:07:48
22,188,Owen McKinley,M25-29,22,Open,,,,,,,5:08:10
23,147,Daniel Matson,M35-39,23,Open,NewryTriathlonClub,,,,,,5:09:01
24,192,Jonathan Mclaren,M50-54,24,Open,Northwest TC,,,,,,5:09:09
25,129,Darran Lagan,M50-54,25,Open,Omagh TC,,,,,,5:09:26
26,446,Pawel Pawelec,M40-44,26,Open,Wexford TC,,,,,,5:10:14
27,241,Conal Sexton,M45-49,27,Open,,,,,,,5:10:18
28,174,Damian McCrink,M40-44,28,Open,,,,,,,5:12:49
29,172,Allister McCord,M25-29,29,Open,Northwest TC,,,,,,5:13:24
30,79,Hugh Gallagher,M50-54,30,Open,247 Triathlon Club,,,,,,5:13:50
31,60,Michael Doherty,M45-49,31,Open,Northwest TC,,,,,,5:13:59
32,23,Nicholas Carlisle,M30-34,32,Open,,,,,,,5:14:14
33,86,Brendan Glynn,M35-39,33,Open,Sligo Tri Club,,,,,,5:15:56
34,249,Conor Stone,M25-29,34,Open,3D Triathlon Club,,,,,,5:16:11
35,158,Derryl Mc Quade,M50-54,35,Open,Omagh TC,,,,,,5:16:22
36,124,james kilcullen,M40-44,36,Open,,,,,,,5:16:54
37,224,Mark O'dell,M45-49,37,Open,Glens Cycling and Triathlon Club,,,,,,5:17:34
38,89,Brian Hackett,M40-44,38,Open,LisburnTriathlonClub,,,,,,5:17:53
39,179,Matthew Mcdowell,M35-39,39,Open,Northwest TC,,,,,,5:18:04
40,170,James Mcconnell,M50-54,40,Open,Northwest TC,,,,,,5:18:39
41,62,Paul Doherty,M45-49,41,Open,247 Triathlon Club,,,,,,5:19:23
42,35,Cormac Copeland,M30-34,42,Open,OlympianTriathlonClub,,,,,,5:19:49
43,121,Jack Kennedy,M25-29,43,Open,,,,,,,5:20:04
44,258,Kevin Traynor,M25-29,44,Open,,,,,,,5:21:34
45,217,Ronan Murtagh,M40-44,45,Open,,,,,,,5:22:34
46,185,Kerry McGrillen,F40-44,1,Female,Olympian Triathlon Club,,,,,,5:23:02
47,128,Artur Kuwik,M45-49,46,Open,Drogheda Triathlon Club,,,,,,5:23:28
48,214,Gregory Murphy,M45-49,47,Open,Cuilcagh TC,,,,,,5:23:31
49,159,Tyrone Mc Shane,M45-49,48,Open,Lisburn Triathlon Club,,,,,,5:23:41
50,151,Peter Mc camphill,M40-44,49,Open,Northwest TC,,,,,,5:23:57
51,4,Ryan Ballantine,M25-29,50,Open,,,,,,,5:24:19
52,157,Raymond Mc Groary,M35-39,51,Open,,,,,,,5:24:37
53,25,Barry Carragher,M40-44,52,Open,,,,,,,5:25:01
54,233,Jack Quigley,M40-44,53,Open,Northwest TC,,,,,,5:25:09
55,69,Neil Faulkner,M60,54,Open,Sligo Tri Club,,,,,,5:25:19
56,193,Conor McLaughlin,M35-39,55,Open,NorthwestTC,,,,,,5:26:11
57,184,Colm Mcgonigle,M35-39,56,Open,,,,,,,5:27:40
58,138,Gavin Loughrey,M25-29,57,Open,OlympianTriathlonClub,,,,,,5:27:42
59,209,STEPHEN MULLEN,M40-44,58,Open,,,,,,,5:27:59
60,246,Michael Stephens,M30-34,59,Open,Lisburn Triathlon Club,,,,,,5:29:47
61,225,Gary Odonnell,M45-49,60,Open,NorthwestTC,,,,,,5:30:24
62,68,Jack Eustace,M25-29,61,Open,Piranha Triathlon Club,,,,,,5:30:46
63,232,Dwayne Price,M45-49,62,Open,,,,,,,5:31:31
64,181,Orla McGandy,F35-39,2,Female,Olympian Triathlon Club,,,,,,5:32:16
65,237,Sean Ritson,M25-29,63,Open,,,,,,,5:33:47
66,110,Trevor Hunter,M60,64,Open,,,,,,,5:34:21
67,211,Jarlath Murphy,M25-29,65,Open,Omagh TC,,,,,,5:34:23
68,238,Gary Rowan,M50-54,66,Open,,,,,,,5:34:34
69,257,Paul Trainor,M35-39,67,Open,,,,,,,5:34:39
70,150,Sean Mc Cabe,M55-59,68,Open,,,,,,,5:34:47
71,243,Charlie Simpson,M30-34,69,Open,,,,,,,5:34:58
72,78,Gerard Gallagher,M50-54,70,Open,,,,,,,5:35:50
73,91,Jennifer Hamilton,F50-54,3,Female,Invictus Tri Squad Belfast.,,,,,,5:35:58
74,36,Brian Corry,M45-49,71,Open,Down Triathlon Club,,,,,,5:36:03
75,40,Neil Crompton,M40-44,72,Open,,,,,,,5:36:32
76,95,Niamh Heaney,F25-29,4,Female,Omagh TC,,,,,,5:37:03
77,248,Sane Stewart,M40-44,73,Open,Strabane Triathlon Club,,,,,,5:37:53
78,99,Scott Henderson,M30-34,74,Open,Lisburn Triathlon Club,,,,,,5:39:43
79,55,Patrick Doherty,M50-54,75,Open,247 Triathlon Club,,,,,,5:39:54
80,15,Ciaran Breen,M25-29,76,Open,Omagh TC,,,,,,5:40:00
81,228,Edward Page,M20-24,77,Open,,,,,,,5:40:08
82,160,Oran Mcaleer,M20-24,78,Open,Omagh TC,,,,,,5:41:38
83,58,Fiona Doherty,F40-44,5,Female,Northwest TC,,,,,,5:42:09
84,182,John McGee,M45-49,79,Open,HellYeahTriathlonClub,,,,,,5:42:33
85,231,Michael Pickles,M50-54,80,Open,Cuilcagh TC,,,,,,5:43:09
86,38,Gerard Coyle,M45-49,81,Open,Strabane Triathlon Club,,,,,,5:44:09
87,114,Martyna Janus,F35-39,6,Female,Sligo Tri Club,,,,,,5:45:53
88,204,Kate Moffett,F45-49,7,Female,,,,,,,5:46:04
89,137,Rory Loughran,M20-24,82,Open,Omagh TC,,,,,,5:48:11
90,125,Gary King,M35-39,83,Open,,,,,,,5:48:26
91,135,DEAGLAN LONG,M35-39,84,Open,,,,,,,5:48:43
92,136,Colin Louden,M40-44,85,Open,Triangle Triathlon Club,,,,,,5:50:23
93,213,Stephen Murphy,M40-44,86,Open,Pulse TC,,,,,,5:50:30
94,134,William Little,M35-39,87,Open,Lough Key Triathlon Club,,,,,,5:51:44
95,12,Craig Boucher,M30-34,88,Open,Down Triathlon Club,,,,,,5:52:04
96,176,John McDermott,M35-39,89,Open,Strabane Triathlon Club,,,,,,5:52:07
97,162,Gareth Mcallister,M55-59,90,Open,Glens Cycling and Triathlon Club,,,,,,5:52:23
98,104,ROB HILLIS,M35-39,91,Open,Lisburn Triathlon Club,,,,,,5:52:40
99,72,Thomas Flannery,M50-54,92,Open,,,,,,,5:52:45
100,82,Mark Gillespie,M50-54,93,Open,LisburnTriathlonClub,,,,,,5:53:51
101,2,David Arbuckle,M35-39,94,Open,Strabane Triathlon Club,,,,,,5:54:51
102,53,Gavin Divin,M45-49,95,Open,,,,,,,5:54:53
103,221,Lilly O’Dea,F45-49,8,Female,BoruTC,,,,,,5:56:27
104,194,Niall Mclaughlin,M25-29,96,Open,,,,,,,5:56:36
105,57,Ryan Doherty,M35-39,97,Open,Omagh TC,,,,,,5:56:42
106,254,Ethan Tolan,M30-34,98,Open,,,,,,,5:56:59
107,253,Eoin Tipping,M45-49,99,Open,NewryTriathlonClub,,,,,,5:57:17
108,175,Padraig McDermott,M50-54,100,Open,Omagh TC,,,,,,5:57:27
109,200,Ross McQueen,M35-39,101,Open,Olympian Triathlon Club,,,,,,5:58:35
110,5,Jade Ballantine,F25-29,9,Female,,,,,,,5:58:46
111,18,Stephen Broderick,M60,102,Open,,,,,,,5:59:18
112,119,Evan Kelly,M25-29,103,Open,Sligo Tri Club,,,,,,6:00:29
113,3,Jonathon Backus,M35-39,104,Open,,,,,,,6:00:58
114,31,Niall Collum,M50-54,105,Open,,,,,,,6:02:01
115,106,Mark Hopkins,M50-54,106,Open,InvictusTriSquadBelfast.,,,,,,6:02:24
116,101,Dean Henderson,M35-39,107,Open,Strabane Triathlon Club,,,,,,6:02:26
