Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,408,Russell White,M30-34,1,Open,0,19:06,0:58,1:08:33,1:12,39:31,2:09:23
2,374,Conor Sherriff,M25-29,2,Open,0,22:22,1:17,1:12:52,1:03,41:16,2:18:52
3,237,Sean McCullagh,M25-29,3,Open,0,21:35,1:27,1:13:08,1:17,41:45,2:19:13
4,106,Hollie Elliot,F25-29,1,Female,0,20:10,0:58,1:17:33,0:51,42:42,2:22:16
5,128,Scott Graham,M35-39,4,Open,0,23:53,1:16,1:13:08,1:05,44:11,2:23:36
6,317,Emma O'Brien,F25-29,2,Female,0,21:17,1:03,1:16:28,1:00,43:58,2:23:48
7,402,Nathan Ward,M30-34,5,Open,0,23:37,1:31,1:13:08,1:29,44:18,2:24:05
8,67,Leo Corry,M25-29,6,Open,0,28:33,1:12,1:17:15,1:20,38:53,2:27:15
9,281,Michael Monahan,M35-39,7,Open,0,23:11,1:16,1:16:23,1:08,45:25,2:27:24
10,31,Ben Butler,M35-39,8,Open,0,26:51,1:21,1:13:43,1:06,44:42,2:27:45
11,305,Eoin Nagle,M25-29,9,Open,0,26:22,2:07,1:16:45,1:09,44:02,2:30:27
12,49,James Cleland,M50-54,10,Open,0,27:31,1:20,1:16:15,1:01,45:33,2:31:41
13,182,Padraig Kelly,M40-44,11,Open,0,27:29,1:09,1:20:19,1:06,43:21,2:33:27
14,88,Jonathan Denvir,M35-39,12,Open,0,27:58,2:21,1:16:38,2:00,45:06,2:34:06
15,203,Johnny Lynch,M40-44,13,Open,0,26:59,1:08,1:20:04,1:18,45:06,2:34:37
16,188,Enda Kilgallon,M35-39,14,Open,0,31:18,1:59,1:20:30,1:32,39:46,2:35:08
17,45,Philip Castles,M45-49,15,Open,0,27:54,1:24,1:14:59,1:11,49:57,2:35:26
18,58,Ruairi Conlon,M25-29,15,Open,0,26:32,1:09,1:21:18,1:02,45:23,2:35:26
19,24,Derek Brady,M45-49,17,Open,0,28:52,1:38,1:20:44,1:17,43:22,2:35:54
20,159,Shane Hennelly,M40-44,17,Open,0,31:01,1:15,1:19:35,1:08,42:53,2:35:54
21,93,Kilian Dooley,M50-54,17,Open,0,30:34,1:26,1:16:32,1:05,46:15,2:35:54
22,28,James Burke,M30-34,20,Open,0,29:49,1:30,1:21:58,1:18,41:32,2:36:08
23,229,Peter McConville,M60,21,Open,0,26:39,1:29,1:20:52,1:29,46:00,2:36:32
24,370,Joshua Schnell,M20-24,22,Open,0,27:41,1:41,1:19:42,1:30,46:30,2:37:05
25,275,Fergus Meade,M40-44,23,Open,0,32:30,2:01,1:18:50,1:00,43:30,2:37:53
26,95,Mark Dowling,M40-44,24,Open,0,27:54,1:34,1:18:58,1:07,48:33,2:38:08
27,100,Jack Duncan,M30-34,25,Open,0,27:42,2:17,1:22:35,1:49,44:02,2:38:27
28,183,Jack Kennedy,M20-24,26,Open,0,29:00,1:41,1:18:24,1:08,48:48,2:39:03
29,295,Emmett Mullan,M30-34,27,Open,0,22:51,1:10,1:22:55,1:18,50:53,2:39:08
30,87,Ciaran Denvir,M40-44,28,Open,0,29:07,1:59,1:20:21,1:34,48:01,2:41:04
31,343,David Power,M40-44,29,Open,0,31:08,1:03,1:26:22,1:01,41:56,2:41:32
32,186,Isaac Kerr,M30-34,30,Open,0,31:57,2:13,1:21:44,1:13,45:01,2:42:11
33,403,Tim Waters,M35-39,31,Open,0,27:45,1:27,1:28:18,1:50,43:06,2:42:29
34,334,Stuart O'Sullivan,M30-34,32,Open,0,27:46,1:52,1:22:32,1:14,49:30,2:42:57
