Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,13,Alan Connolly,M35-44,1,Open,Edenderry TC,10:17,0:53,30:18,0:48,19:20,1:01:36
2,41,Stephen Mc Guinn,M35-44,2,Open,Piranha TC,9:23,1:05,35:13,0:54,18:19,1:04:54
3,33,Andrew Kinane,M45-59,3,Open,Activmultisport TC,10:02,1:39,33:38,1:03,18:40,1:05:02
4,8,Hugh Carberry,M45-59,4,Open,Tralee TC,11:00,0:39,31:57,0:46,20:58,1:05:20
5,47,Matthew Molloy,M45-59,5,Open,Virginia Triathlon & Cycling Club,10:55,0:39,33:39,0:51,21:09,1:07:13
6,48,Sean Molloy,M25-34,6,Open,,13:17,2:19,31:06,1:13,19:48,1:07:43
7,60,William Morris,M45-59,7,Open,Activmultisport TC,11:11,1:16,32:56,0:58,21:33,1:07:54
8,85,Daniel Stratford,M18-24,8,Open,,9:22,1:49,36:35,0:43,21:12,1:09:41
9,67,Diarmuid O Hanlon,M25-34,9,Open,UCD Triathlon Club,11:40,1:34,37:19,0:51,19:05,1:10:29
10,31,Gerard Kenny,M60,10,Open,Setanta TC,13:44,0:49,33:19,0:39,22:30,1:11:01
11,5,William Brosnahan,M35-44,11,Open,Wicklow TC,13:58,0:42,35:12,0:50,20:45,1:11:27
12,39,Niall Mc Donnell,M35-44,12,Open,Piranha TC,11:33,1:14,35:22,1:18,22:19,1:11:46
13,72,John Phelan,M45-59,13,Open,Tullamore TC,13:51,1:42,33:59,1:07,22:18,1:12:57
14,169,Trevor Mulligan,M35-44,14,Open,,14:23,2:10,35:22,1:11,20:39,1:13:45
15,4,Ciara Brady,F18-24,1,Female,Virginia Triathlon & Cycling Club,11:16,1:23,39:11,1:25,21:42,1:14:57
16,21,Andrew Fairbrother,M25-34,15,Open,Belpark TC,11:40,1:38,39:33,1:14,20:57,1:15:02
17,78,Lisa & Wendy Relay,F35-44,2,Female,,11:16,0:46,37:21,2:04,23:44,1:15:11
18,69,Louise O Riordan,F25-34,3,Female,Belpark TC,14:18,1:20,36:06,0:58,22:49,1:15:31
19,61,John Paul Mulherin,M45-59,16,Open,,11:26,2:35,37:35,1:27,23:01,1:16:04
20,90,Ava Whelan,F35-44,4,Female,Piranha TC,13:19,1:17,35:40,1:09,24:41,1:16:06
21,64,Redmond Murphy,M45-59,17,Open,,15:13,2:00,35:48,1:13,22:35,1:16:49
22,63,Niamh Murphy,F45-59,5,Female,Belpark TC,11:48,2:11,39:22,1:07,23:00,1:17:28
23,23,Ray Farrelly,M35-44,18,Open,Virginia Triathlon & Cycling Club,13:44,1:53,37:29,1:12,23:29,1:17:47
