Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,96,Stephen MC GIBNEY,M40-44,,Open,Naas TC,11:50,1:39,44:08,1:29,18:55,1:18:01
2,92,Bevan M,M25-29,,Open,None,11:57,2:10,43:28,1:47,23:04,1:22:26
3,81,Yury KEATING,M25-29,,Open,Athy Triathlon Club,8:30,2:35,52:28,1:15,23:45,1:28:33
4,98,Oisin PENDER,M30-34,,Open,Carlow Tri Club,8:22,2:52,54:13,3:06,20:51,1:29:24
5,102,Mark PIERCE,M40-44,,Open,Trilogy triathlon Club,8:23,1:08,49:03,1:42,30:01,1:30:17
6,23,Ross O CONNOR,M25-29,,Open,None,11:00,2:50,49:48,1:40,26:16,1:31:34
7,4,Sarah LEONARD,F16-19,,Female,,9:55,3:13,53:37,1:09,25:19,1:33:13
8,100,Edel MC DONNELL,F45-49,,Female,,11:49,1:59,53:26,1:22,24:52,1:33:28
9,86,Darren LEECH,M25-29,,Open,None,10:56,2:42,55:20,1:05,24:17,1:34:20
10,106,Max MILBREDT,M40-44,,Open,,11:06,3:07,53:05,1:45,25:41,1:34:44
11,94,Inese KOLCA,F45-49,,Female,,13:53,2:26,50:40,1:27,27:06,1:35:32
12,79,Claire TIERNEY,F35-39,,Female,Limerick TC,12:23,1:57,55:03,1:19,28:13,1:38:55
13,3,Dylan HALPENNY,M16-19,,Open,,8:54,3:05,1:01:34,1:01,24:48,1:39:22
14,83,Rory MOORE,M40-44,,Open,None,12:21,2:40,51:32,2:39,32:36,1:41:48
15,95,Ciaran TRACEY,M40-44,,Open,,13:49,2:26,53:01,1:34,31:06,1:41:56
16,25,Jacqueline KEATING,F55-59,,Female,Athy Triathlon Club,10:43,2:30,57:33,2:18,30:38,1:43:42
17,24,Tess SHAW,F60-64,,Female,,11:23,3:57,59:00,2:09,28:39,1:45:08
18,77,Geraldine GOODE,F50-54,,Female,Trilogy triathlon Club,12:21,2:11,58:43,1:41,30:16,1:45:12
19,82,Eimear KERNAN,F20-24,,Female,None,11:24,3:02,54:49,1:37,35:24,1:46:16
20,99,Darina HARPER,F30-34,,Female,Kilkenny Triathlon Club,8:19,2:42,1:02:07,1:45,31:36,1:46:29
21,91,Rachel CLARKE,F40-44,,Female,None,13:26,3:08,1:02:24,4:01,25:51,1:48:50
22,87,Amy TUTHILL,F45-49,,Female,None,15:11,3:13,59:11,3:35,30:58,1:52:08
23,93,Patricia MURPHY,F20-24,,Female,Fingal TC,10:41,4:08,1:07:34,1:49,28:19,1:52:31
24,104,Sylvia FOLEY,F30-34,,Female,,13:47,3:51,1:00:40,2:22,32:56,1:53:36
25,27,Greg LEONARD,M50-54,,Open,,10:52,3:18,1:01:41,2:22,36:11,1:54:24
26,89,Koffie TOBIN,M30-34,,Open,None,19:26,3:35,1:02:31,1:19,28:56,1:55:47
27,107,Pauline LYNCH,F35-39,,Female,,11:03,2:26,1:07:06,1:14,35:10,1:56:59
28,84,Catherine MELIA,F65-69,,Female,,19:13,3:54,1:16:01,3:11,34:54,2:17:13
